date,subs
2015-04-06,81356
2015-04-07,81426
2015-04-08,81495
2015-04-09,81568
2015-04-10,81733
2015-04-11,81754
2015-04-12,81868
2015-04-13,82021
2015-04-14,82106
2015-04-15,82170
2015-04-16,82214
2015-04-17,82250
2015-04-18,82288
2015-04-19,82603
2015-04-20,82834
2015-04-21,82946
2015-04-22,83032
2015-04-23,83079
2015-04-24,83116
2015-04-25,83174
2015-04-26,83228
2015-04-27,83386
2015-04-28,83438
2015-04-29,83485
2015-04-30,83538
2015-05-01,83586
2015-05-02,83626
2015-05-03,83666
2015-05-04,83721
2015-05-05,83760
2015-05-06,83803
2015-05-07,83840
2015-05-08,83867
2015-05-09,83906
2015-05-10,84056
2015-05-11,84170
2015-05-12,84242
2015-05-13,84300
2015-05-14,84349
2015-05-15,84411
2015-05-16,84468
2015-05-17,84512
2015-05-18,84562
2015-05-19,84596
2015-05-20,84654
2015-05-21,84700
2015-05-22,84732
2015-05-23,84752
2015-05-24,85077
2015-05-25,85243
2015-05-26,85349
2015-05-27,85424
2015-05-28,85474
2015-05-29,85523
2015-05-30,85574
2015-05-31,85641
2015-06-01,85732
2015-06-02,85784
2015-06-03,85824
2015-06-04,85886
2015-06-05,85922
2015-06-06,85942
2015-06-07,86045
2015-06-08,86191
2015-06-09,86261
2015-06-10,86316
2015-06-11,86374
2015-06-12,86437
2015-06-13,86487
2015-06-14,86534
2015-06-15,86552
2015-06-16,86560
2015-06-17,86610
2015-06-18,86640
2015-06-19,86679
2015-06-20,86665
2015-06-21,86842
2015-06-22,86978
2015-06-23,87052
2015-06-24,87095
2015-06-25,87129
2015-06-26,87163
2015-06-27,87210
2015-06-28,87244
2015-06-29,87285
2015-06-30,87311
2015-07-01,87350
2015-07-02,87392
2015-07-03,87441
2015-07-04,87433
2015-07-05,87511
2015-07-06,87626
2015-07-07,87693
2015-07-08,87747
2015-07-09,87791
2015-07-10,87830
2015-07-11,87911
2015-07-12,87988
2015-07-13,88031
2015-07-14,88068
2015-07-15,88106
2015-07-16,88148
2015-07-17,88223
2015-07-18,88348
2015-07-19,88401
2015-07-20,88450
2015-07-21,88520
2015-07-22,88571
2015-07-23,88621
2015-07-24,88668
2015-07-25,88691
2015-09-28,92402
2015-09-29,92488
2015-09-30,92532
2015-10-01,92589
2015-10-02,92622
2015-10-03,92644
2015-10-04,92675
2015-10-05,92699
2015-10-06,92741
2015-10-07,92772
2015-10-08,92783
2015-10-09,92802
2015-10-10,92816
2015-10-11,92937
2015-10-12,93069
2015-10-13,93128
2015-10-14,93189
2015-10-15,93228
2015-10-16,93260
2015-10-17,93296
2015-10-18,93335
2015-10-19,93390
2015-10-20,93430
2015-10-21,93459
2015-10-22,93500
2015-10-23,93556
2015-10-24,93643
2015-10-25,93846
2015-10-26,93997
2015-10-27,94090
2015-10-28,94147
2015-10-29,94186
2015-10-30,94243
2015-10-31,94254
2015-11-01,94343
2015-11-02,94555
2015-11-03,94612
2015-11-04,94672
2015-11-05,94717
2015-11-06,94737
2015-11-07,94784
2015-11-08,94810
2015-11-09,94857
2015-11-10,94878
2015-11-11,94891
2015-11-12,94943
2015-11-13,94956
2015-11-14,94958
2015-11-15,94959
2015-11-16,95057
2015-11-17,95097
2015-11-18,95138
2015-11-19,95163
2015-11-20,95192
2015-11-21,95212
2015-11-22,95247
2015-11-23,95272
2015-11-24,95281
2015-11-25,95310
2015-11-26,95331
2015-11-27,95348
2015-11-28,95355
2015-11-29,95393
2015-11-30,95484
2015-12-01,95548
2015-12-02,95599
2015-12-03,95651
2015-12-04,95696
2015-12-05,95730
2015-12-06,95761
2015-12-07,95794
2015-12-08,95827
2015-12-09,95847
2015-12-10,95873
2015-12-11,95890
2015-12-12,95903
2015-12-13,95920
2015-12-14,95942
2015-12-15,95616
2015-12-16,95295
2015-12-17,95070
2015-12-18,94872
2015-12-19,94702
2015-12-20,94562
2015-12-21,94405
2015-12-22,94234
2015-12-23,94086
2015-12-24,93920
2015-12-25,93745
2015-12-26,93658
2015-12-27,93487
2015-12-28,93336
2015-12-29,93201
2015-12-30,93030
2015-12-31,92951
2016-01-01,92829
2016-01-02,92753
2016-01-03,92647
2016-01-04,92523
2016-01-05,92430
2016-01-06,92453
2016-01-07,92469
2016-01-08,92481
2016-01-09,92502
2016-01-10,92525
2016-01-11,92541
2016-01-12,92562
2016-01-13,92584
2016-01-14,92623
2016-01-15,92651
2016-01-16,92670
2016-01-17,92686
2016-01-18,92691
2016-01-19,92707
2016-01-20,92730
2016-01-21,92786
2016-01-22,92806
2016-01-23,92831
2016-01-24,92856
2016-01-25,92863
2016-01-26,92884
2016-01-27,92904
2016-01-28,92937
2016-01-29,92965
2016-01-30,92994
2016-01-31,93012
2016-02-01,93038
2016-02-02,93061
2016-02-03,93109
2016-02-04,93149
2016-02-05,93171
2016-02-06,93216
2016-02-07,93235
2016-02-08,93260
2016-02-09,93290
2016-02-10,93312
2016-02-11,93345
2016-02-12,93371
2016-02-13,93418
2016-02-14,93452
2016-02-15,93475
2016-02-16,93499
2016-02-17,93520
2016-02-18,93549
2016-02-19,93658
2016-02-20,93687
2016-02-21,93858
2016-02-22,93994
2016-02-23,94062
2016-02-24,94201
2016-02-25,94266
2016-02-26,94354
2016-02-27,94409
2016-02-28,94434
2016-02-29,94481
2016-03-01,94521
2016-03-02,94571
2016-03-03,94615
2016-03-04,94665
2016-03-05,94716
2016-03-06,94763
2016-03-07,94798
2016-03-08,94833
2016-03-09,94876
2016-03-10,95013
2016-03-11,95053
2016-03-12,95137
2016-03-13,95162
2016-03-14,95188
2016-03-15,95241
2016-03-16,95298
2016-03-17,95392
2016-03-18,95495
2016-03-19,95651
2016-03-20,96587
2016-03-21,96859
2016-03-22,96971
2016-03-23,97067
2016-03-24,97122
2016-03-25,97174
2016-03-26,97235
2016-03-27,97285
2016-03-28,97345
2016-03-29,97383
2016-03-30,97434
2016-03-31,97465
2016-04-01,97498
2016-04-02,97576
2016-04-03,97796
2016-04-04,97958
2016-04-05,98065
2016-04-06,98125
2016-04-07,98258
2016-04-08,98349
2016-04-09,98431
2016-04-10,98534
2016-04-11,98592
2016-04-12,98670
2016-04-13,98718
2016-04-14,98781
2016-04-15,98842
2016-04-16,98839
2016-04-17,99095
2016-04-18,99252
2016-04-19,99360
2016-04-20,99407
2016-04-21,99464
2016-04-22,99525
2016-04-23,99585
2016-04-24,99630
2016-04-25,99660
2016-04-26,99691
2016-04-27,99750
2016-04-28,99779
2016-04-29,99801
2016-04-30,99819
2016-05-01,100416
2016-05-02,100625
2016-05-03,100720
2016-05-04,100787
2016-05-05,100949
2016-05-06,101031
2016-05-07,101090
2016-05-08,101121
2016-05-09,101161
2016-05-10,101201
2016-05-11,101256
2016-05-12,101316
2016-05-13,101382
2016-05-14,101439
2016-05-15,102339
2016-05-16,102630
2016-05-17,102789
2016-05-18,102880
2016-05-19,102951
2016-05-20,103001
2016-05-21,103129
2016-05-22,103204
2016-05-23,103264
2016-05-24,103332
2016-05-25,103405
2016-05-26,103483
2016-05-27,103568
2016-05-28,103882
2016-05-29,104497
2016-05-30,104773
2016-05-31,104901
2016-06-01,105016
